name,type,tier,address,county,phone,email,contactPerson,servicesOffered,paymentTermDays,contractStatus,contractStartDate,contractEndDate,contractNotes,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,legalName,registrationNumber,licenceNumber,facilityLevel,smartProviderId,slade360ProviderId
AAR Health Care Wakiso South,CLINIC,PANEL,"Wakiso University Ward, Wakiso, Uganda",Wakiso,+25673809039,billing.0482@aar.health.care.wakiso.south.test.ug,Provider Relations 0482,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.408351,32.490078,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",AAR Health Care Wakiso South Limited,UG-REG-TEST-000482,UMDPC-TEST-000482,HC III,SMART-UG-00482,SLADE-UG-00482
Community Mukono Medical Centre 201,CLINIC,PANEL,"Mukono Central, Mukono, Uganda",Mukono,+25673816958,billing.0483@community.mukono.medical.centre.201.test.ug,Provider Relations 0483,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.387478,32.718075,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Community Mukono Medical Centre 201 Limited,UG-REG-TEST-000483,UMDPC-TEST-000483,HC IV,SMART-UG-00483,SLADE-UG-00483
Victoria Amuru Medical Centre,CLINIC,PANEL,"Amuru West, Amuru, Uganda",Amuru,+25673824877,billing.0484@victoria.amuru.medical.centre.test.ug,Provider Relations 0484,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",2.779939,31.952905,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Victoria Amuru Medical Centre Limited,UG-REG-TEST-000484,UMDPC-TEST-000484,Outpatient Clinic,SMART-UG-00484,SLADE-UG-00484
Medipal Kabale North,CLINIC,PANEL,"Kabale North, Kabale, Uganda",Kabale,+25673832796,billing.0485@medipal.kabale.north.test.ug,Provider Relations 0485,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-1.26981,30.004721,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Medipal Kabale North Limited,UG-REG-TEST-000485,UMDPC-TEST-000485,HC III,SMART-UG-00485,SLADE-UG-00485
Grace Lira Medical Centre,CLINIC,PANEL,"Lira Mission Ward, Lira, Uganda",Lira,+25673840715,billing.0486@grace.lira.medical.centre.test.ug,Provider Relations 0486,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",2.240093,32.91528,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Grace Lira Medical Centre Limited,UG-REG-TEST-000486,UMDPC-TEST-000486,Outpatient Clinic,SMART-UG-00486,SLADE-UG-00486
City Medicals Kasese North,CLINIC,PANEL,"Kasese Town Council, Kasese, Uganda",Kasese,+25673848634,billing.0487@city.medicals.kasese.north.test.ug,Provider Relations 0487,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.187949,30.11492,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",City Medicals Kasese North Limited,UG-REG-TEST-000487,UMDPC-TEST-000487,HC IV,SMART-UG-00487,SLADE-UG-00487
Family Wakiso Medical Centre,CLINIC,PARTNER,"Wakiso South, Wakiso, Uganda",Wakiso,+25673856553,billing.0488@family.wakiso.medical.centre.test.ug,Provider Relations 0488,Outpatient|Laboratory|Emergency,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.405365,32.483207,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Family Wakiso Medical Centre,,UMDPC-TEST-000488,Outpatient Clinic,SMART-UG-00488,SLADE-UG-00488
St. Mary's Masaka Medical Centre,CLINIC,PARTNER,"Masaka Lake View, Masaka, Uganda",Masaka,+25673864472,billing.0489@st.mary.s.masaka.medical.centre.test.ug,Provider Relations 0489,Outpatient|Laboratory|Minor Surgery,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.37348,31.772008,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",St. Mary's Masaka Medical Centre,,UMDPC-TEST-000489,HC III,SMART-UG-00489,SLADE-UG-00489
Sunrise Mityana Medical Centre,CLINIC,PANEL,"Mityana Town Council, Mityana, Uganda",Mityana,+25673872391,billing.0490@sunrise.mityana.medical.centre.test.ug,Provider Relations 0490,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.422061,32.065492,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Sunrise Mityana Medical Centre,,UMDPC-TEST-000490,HC IV,SMART-UG-00490,SLADE-UG-00490
Rocket Health Sironko Lake View,CLINIC,PANEL,"Sironko South, Sironko, Uganda",Sironko,+25673880310,billing.0491@rocket.health.sironko.lake.view.test.ug,Provider Relations 0491,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.198157,34.28729,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Rocket Health Sironko Lake View Limited,UG-REG-TEST-000491,UMDPC-TEST-000491,HC IV,SMART-UG-00491,SLADE-UG-00491
Care Napak Medical Centre,CLINIC,PARTNER,"Napak Municipal, Napak, Uganda",Napak,+25673888229,billing.0492@care.napak.medical.centre.test.ug,Provider Relations 0492,Outpatient|Laboratory|Chronic Care,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",2.277801,34.22714,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Care Napak Medical Centre Limited,UG-REG-TEST-000492,UMDPC-TEST-000492,HC III,SMART-UG-00492,SLADE-UG-00492
Frontier Rukungiri Medical Centre,CLINIC,PANEL,"Rukungiri Municipal, Rukungiri, Uganda",Rukungiri,+25673896148,billing.0493@frontier.rukungiri.medical.centre.test.ug,Provider Relations 0493,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.745377,29.935274,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Frontier Rukungiri Medical Centre Limited,UG-REG-TEST-000493,UMDPC-TEST-000493,HC IV,SMART-UG-00493,SLADE-UG-00493
Frontier Jinja Medical Centre,CLINIC,PANEL,"Jinja Town Council, Jinja, Uganda",Jinja,+25673904067,billing.0494@frontier.jinja.medical.centre.test.ug,Provider Relations 0494,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.466165,33.174589,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Frontier Jinja Medical Centre Limited,UG-REG-TEST-000494,UMDPC-TEST-000494,HC III,SMART-UG-00494,SLADE-UG-00494
Wellness Nakaseke Medical Centre,CLINIC,PARTNER,"Nakaseke University Ward, Nakaseke, Uganda",Nakaseke,+25673911986,billing.0495@wellness.nakaseke.medical.centre.test.ug,Provider Relations 0495,Outpatient|Laboratory|Emergency,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.036132,32.040671,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Wellness Nakaseke Medical Centre Limited,UG-REG-TEST-000495,UMDPC-TEST-000495,HC IV,SMART-UG-00495,SLADE-UG-00495
Pearl Jinja Medical Centre 214,CLINIC,PARTNER,"Jinja Municipal, Jinja, Uganda",Jinja,+25673919905,billing.0496@pearl.jinja.medical.centre.214.test.ug,Provider Relations 0496,Outpatient|Laboratory|Chronic Care,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.436359,33.164326,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Pearl Jinja Medical Centre 214 Limited,UG-REG-TEST-000496,UMDPC-TEST-000496,Outpatient Clinic,SMART-UG-00496,SLADE-UG-00496
Care Mityana Medical Centre,CLINIC,PANEL,"Mityana South, Mityana, Uganda",Mityana,+25673927824,billing.0497@care.mityana.medical.centre.test.ug,Provider Relations 0497,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.37304,31.984523,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Care Mityana Medical Centre,,UMDPC-TEST-000497,HC IV,SMART-UG-00497,SLADE-UG-00497
Hope Sembabule Medical Centre,CLINIC,PARTNER,"Sembabule East, Sembabule, Uganda",Sembabule,+25673935743,billing.0498@hope.sembabule.medical.centre.test.ug,Provider Relations 0498,Outpatient|Laboratory|Maternity,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.103212,31.429232,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Hope Sembabule Medical Centre,,UMDPC-TEST-000498,HC IV,SMART-UG-00498,SLADE-UG-00498
Sunrise Lyantonde Medical Centre,CLINIC,PARTNER,"Lyantonde Town Council, Lyantonde, Uganda",Lyantonde,+25673943662,billing.0499@sunrise.lyantonde.medical.centre.test.ug,Provider Relations 0499,Outpatient|Laboratory|Maternity,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.408999,31.142933,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Sunrise Lyantonde Medical Centre Limited,UG-REG-TEST-000499,UMDPC-TEST-000499,HC IV,SMART-UG-00499,SLADE-UG-00499
Pearl Soroti Medical Centre,CLINIC,PARTNER,"Soroti Mission Ward, Soroti, Uganda",Soroti,+25673951581,billing.0500@pearl.soroti.medical.centre.test.ug,Provider Relations 0500,Outpatient|Laboratory|Minor Surgery,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.705644,33.6142,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Pearl Soroti Medical Centre Limited,UG-REG-TEST-000500,UMDPC-TEST-000500,HC III,SMART-UG-00500,SLADE-UG-00500
Care Mbarara Medical Centre,CLINIC,PANEL,"Mbarara Lake View, Mbarara, Uganda",Mbarara,+25673959500,billing.0501@care.mbarara.medical.centre.test.ug,Provider Relations 0501,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.622086,30.615161,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Care Mbarara Medical Centre Limited,UG-REG-TEST-000501,UMDPC-TEST-000501,Outpatient Clinic,SMART-UG-00501,SLADE-UG-00501
Unity Isingiro Medical Centre,CLINIC,PARTNER,"Isingiro West, Isingiro, Uganda",Isingiro,+25673967419,billing.0502@unity.isingiro.medical.centre.test.ug,Provider Relations 0502,Outpatient|Laboratory|Maternity,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.832041,30.832912,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Unity Isingiro Medical Centre Limited,UG-REG-TEST-000502,UMDPC-TEST-000502,Outpatient Clinic,SMART-UG-00502,SLADE-UG-00502
Reliable Kiboga Medical Centre,CLINIC,PARTNER,"Kiboga East, Kiboga, Uganda",Kiboga,+25673975338,billing.0503@reliable.kiboga.medical.centre.test.ug,Provider Relations 0503,Outpatient|Laboratory|Chronic Care,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.895448,31.739003,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Reliable Kiboga Medical Centre,,UMDPC-TEST-000503,HC III,SMART-UG-00503,SLADE-UG-00503
Pearl Kampala Medical Centre,CLINIC,PANEL,"Kampala Industrial Area, Kampala, Uganda",Kampala,+25673983257,billing.0504@pearl.kampala.medical.centre.test.ug,Provider Relations 0504,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.344403,32.58567,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Pearl Kampala Medical Centre,,UMDPC-TEST-000504,HC III,SMART-UG-00504,SLADE-UG-00504
Care Soroti Medical Centre,CLINIC,PARTNER,"Soroti East, Soroti, Uganda",Soroti,+25673991176,billing.0505@care.soroti.medical.centre.test.ug,Provider Relations 0505,Outpatient|Laboratory|Emergency,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.729929,33.644759,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Care Soroti Medical Centre,,UMDPC-TEST-000505,HC III,SMART-UG-00505,SLADE-UG-00505
Community Mbale Medical Centre,CLINIC,PARTNER,"Mbale West, Mbale, Uganda",Mbale,+25673999095,billing.0506@community.mbale.medical.centre.test.ug,Provider Relations 0506,Outpatient|Laboratory|Minor Surgery,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.044541,34.157417,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Community Mbale Medical Centre Limited,UG-REG-TEST-000506,UMDPC-TEST-000506,HC IV,SMART-UG-00506,SLADE-UG-00506
Pearl Nwoya Medical Centre,CLINIC,PANEL,"Nwoya North, Nwoya, Uganda",Nwoya,+25674007014,billing.0507@pearl.nwoya.medical.centre.test.ug,Provider Relations 0507,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",2.589925,32.023425,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Pearl Nwoya Medical Centre Limited,UG-REG-TEST-000507,UMDPC-TEST-000507,HC III,SMART-UG-00507,SLADE-UG-00507
Bridge Busia Medical Centre,CLINIC,PANEL,"Busia Mission Ward, Busia, Uganda",Busia,+25674014933,billing.0508@bridge.busia.medical.centre.test.ug,Provider Relations 0508,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.509632,34.083805,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Bridge Busia Medical Centre Limited,UG-REG-TEST-000508,UMDPC-TEST-000508,HC IV,SMART-UG-00508,SLADE-UG-00508
Rocket Health Kotido Market Ward,CLINIC,PANEL,"Kotido Lake View, Kotido, Uganda",Kotido,+25674022852,billing.0509@rocket.health.kotido.market.ward.test.ug,Provider Relations 0509,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",3.004738,34.097,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Rocket Health Kotido Market Ward Limited,UG-REG-TEST-000509,UMDPC-TEST-000509,HC IV,SMART-UG-00509,SLADE-UG-00509
Family Kampala Medical Centre,CLINIC,PARTNER,"Kampala Market Ward, Kampala, Uganda",Kampala,+25674030771,billing.0510@family.kampala.medical.centre.test.ug,Provider Relations 0510,Outpatient|Laboratory|Minor Surgery,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.362529,32.57096,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Family Kampala Medical Centre,,UMDPC-TEST-000510,HC IV,SMART-UG-00510,SLADE-UG-00510
Community Kasese Medical Centre,CLINIC,PANEL,"Kasese North, Kasese, Uganda",Kasese,+25674038690,billing.0511@community.kasese.medical.centre.test.ug,Provider Relations 0511,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.204177,30.075389,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Community Kasese Medical Centre,,UMDPC-TEST-000511,HC IV,SMART-UG-00511,SLADE-UG-00511
Ecopharm Pharmacy Kamuli Central,CLINIC,PANEL,"Kamuli Lake View, Kamuli, Uganda",Kamuli,+25674046609,billing.0512@ecopharm.pharmacy.kamuli.central.test.ug,Provider Relations 0512,Outpatient|Laboratory|Maternity,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.991873,33.085571,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",Ecopharm Pharmacy Kamuli Central Limited,UG-REG-TEST-000512,UMDPC-TEST-000512,HC III,SMART-UG-00512,SLADE-UG-00512
Metro Ibanda Medical Centre,CLINIC,PANEL,"Ibanda East, Ibanda, Uganda",Ibanda,+25674054528,billing.0513@metro.ibanda.medical.centre.test.ug,Provider Relations 0513,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.177951,30.463815,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Metro Ibanda Medical Centre Limited,UG-REG-TEST-000513,UMDPC-TEST-000513,HC III,SMART-UG-00513,SLADE-UG-00513
Family Kamuli Medical Centre,CLINIC,PARTNER,"Kamuli West, Kamuli, Uganda",Kamuli,+25674062447,billing.0514@family.kamuli.medical.centre.test.ug,Provider Relations 0514,Outpatient|Laboratory|Emergency,21,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.93988,33.083538,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Family Kamuli Medical Centre Limited,UG-REG-TEST-000514,UMDPC-TEST-000514,Outpatient Clinic,SMART-UG-00514,SLADE-UG-00514
International Medical Centre Pallisa Mission Ward,CLINIC,PANEL,"Pallisa Hill View, Pallisa, Uganda",Pallisa,+25674070366,billing.0515@international.medical.centre.pallisa.missi.test.ug,Provider Relations 0515,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.118382,33.740356,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",International Medical Centre Pallisa Mission Ward Limited,UG-REG-TEST-000515,UMDPC-TEST-000515,Outpatient Clinic,SMART-UG-00515,SLADE-UG-00515
Grace Kamuli Medical Centre,CLINIC,PANEL,"Kamuli Central, Kamuli, Uganda",Kamuli,+25674078285,billing.0516@grace.kamuli.medical.centre.test.ug,Provider Relations 0516,Outpatient|Laboratory|Emergency,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",0.942475,33.083322,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Grace Kamuli Medical Centre Limited,UG-REG-TEST-000516,UMDPC-TEST-000516,HC III,SMART-UG-00516,SLADE-UG-00516
Hope Kiryandongo Medical Centre,CLINIC,PANEL,"Kiryandongo West, Kiryandongo, Uganda",Kiryandongo,+25674086204,billing.0517@hope.kiryandongo.medical.centre.test.ug,Provider Relations 0517,Outpatient|Laboratory|Chronic Care,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",1.849507,32.090055,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Hope Kiryandongo Medical Centre,,UMDPC-TEST-000517,HC III,SMART-UG-00517,SLADE-UG-00517
Nile Rakai Medical Centre,CLINIC,PANEL,"Rakai Industrial Area, Rakai, Uganda",Rakai,+25674094123,billing.0518@nile.rakai.medical.centre.test.ug,Provider Relations 0518,Outpatient|Laboratory|Minor Surgery,30,ACTIVE,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",-0.717547,31.483107,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",Nile Rakai Medical Centre,,UMDPC-TEST-000518,HC IV,SMART-UG-00518,SLADE-UG-00518
